# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
200 83 17453.000000000004
  56 55.5 202.6 0.264596
  57 56.5 209.3 0.260346
  58 57.5 212.3 0.262555
  59 58.5 198.7 0.262084
  60 59.5 208.9 0.264297
  61 60.5 206.1 0.260842
  62 61.5 207.1 0.263718
  63 62.5 209.6 0.264046
  64 63.5 198.8 0.264939
  65 64.5 205.4 0.262555
  66 65.5 202.3 0.264488
  67 66.5 208.2 0.263816
  68 67.5 210.4 0.26416
  69 68.5 207.9 0.263682
  70 69.5 204.4 0.261478
  71 70.5 209.6 0.265507
  72 71.5 205.2 0.262338
  73 72.5 206.9 0.263357
  74 73.5 200.6 0.263911
  75 74.5 201.8 0.263899
  76 75.5 198.4 0.262221
  77 76.5 203.5 0.265564
  78 77.5 203.9 0.269135
  79 78.5 204.1 0.270339
  80 79.5 199.9 0.269389
  81 80.5 200.8 0.271733
  82 81.5 193.5 0.269478
  83 82.5 109.7 0.270023
1000 83 17452.999999999996
  1 0.5 197.6 0.274292
  2 1.5 195.3 0.278494
  3 2.5 232.7 0.291485
  4 3.5 238.5 0.297204
  5 4.5 179.2 0.30318
  6 5.5 183.3 0.302206
  7 6.5 251.8 0.303563
  8 7.5 234.3 0.304178
  9 8.5 177.1 0.304983
  10 9.5 179.4 0.306422
  11 10.5 261.1 0.311395
  12 11.5 230.1 0.313511
  13 12.5 174.4 0.313071
  14 13.5 186.1 0.310391
  15 14.5 264.8 0.313797
  16 15.5 223.8 0.310228
  17 16.5 170.4 0.312806
  18 17.5 197.3 0.31111
  19 18.5 291.8 0.316545
  20 19.5 186.5 0.31261
  21 20.5 173.8 0.308713
  22 21.5 253.6 0.313281
  23 22.5 247.7 0.314909
  24 23.5 170.5 0.316485
  25 24.5 214.6 0.316
  26 25.5 287.8 0.318292
  27 26.5 173.2 0.314023
  28 27.5 196.1 0.310195
  29 28.5 295.8 0.315407
  30 29.5 184.1 0.308188
  31 30.5 175.4 0.310415
  32 31.5 282.8 0.31211
  33 32.5 217 0.306133
  34 33.5 171.4 0.304366
  35 34.5 226.7 0.299603
  36 35.5 270.2 0.302032
  37 36.5 178 0.296899
  38 37.5 192 0.292709
  39 38.5 247.9 0.287403
  40 39.5 220.8 0.273818
  41 40.5 194.3 0.268395
  42 41.5 209.6 0.263621
  43 42.5 213.8 0.262518
  44 43.5 205.2 0.261793
  45 44.5 211.6 0.263008
  46 45.5 208.9 0.259196
  47 46.5 214.8 0.261021
  48 47.5 213.7 0.259603
  49 48.5 212.4 0.260722
  50 49.5 213.9 0.257665
  51 50.5 207.9 0.258893
  52 51.5 211.5 0.259717
  53 52.5 215.8 0.258238
  54 53.5 213.3 0.256767
  55 54.5 216.5 0.25902
  56 55.5 212.3 0.25996
  57 56.5 210.9 0.260362
  58 57.5 207.2 0.259248
  59 58.5 203.4 0.259764
  60 59.5 209.3 0.260461
  61 60.5 211 0.260751
  62 61.5 202.9 0.26108
  63 62.5 207 0.262161
  64 63.5 209.4 0.262722
  65 64.5 210.4 0.260868
  66 65.5 208.9 0.263354
  67 66.5 203.1 0.264789
  68 67.5 202.2 0.263716
  69 68.5 202.6 0.264174
  70 69.5 208.5 0.266048
  71 70.5 200.2 0.264229
  72 71.5 203.3 0.262281
  73 72.5 203.1 0.266104
  74 73.5 197.7 0.264136
  75 74.5 200.4 0.264645
  76 75.5 203.4 0.265536
  77 76.5 203.8 0.266699
  78 77.5 206.3 0.267289
  79 78.5 209.3 0.267047
  80 79.5 196.7 0.266476
  81 80.5 210.7 0.266374
  82 81.5 203.4 0.266509
  83 82.5 107.5 0.267379
1100 83 17453
  1 0.5 195.9 0.272229
  2 1.5 207.5 0.281433
  3 2.5 249.5 0.29027
  4 3.5 210.9 0.296119
  5 4.5 172 0.297875
  6 5.5 217 0.303789
  7 6.5 269.9 0.30382
  8 7.5 187.8 0.302655
  9 8.5 173.6 0.304717
  10 9.5 242.2 0.307404
  11 10.5 255.9 0.312791
  12 11.5 174.4 0.311748
  13 12.5 180 0.309305
  14 13.5 248.9 0.310862
  15 14.5 241.6 0.313571
  16 15.5 174.3 0.310597
  17 16.5 184.1 0.311634
  18 17.5 268.1 0.315996
  19 18.5 221.6 0.312897
  20 19.5 172.1 0.306683
  21 20.5 214.7 0.311666
  22 21.5 279.6 0.317666
  23 22.5 180.7 0.311569
  24 23.5 179.8 0.312616
  25 24.5 280 0.317307
  26 25.5 216.4 0.31503
  27 26.5 170 0.312234
  28 27.5 224.1 0.309049
  29 28.5 274.9 0.30922
  30 29.5 176 0.306864
  31 30.5 177.2 0.305702
  32 31.5 277.2 0.309612
  33 32.5 219.3 0.305338
  34 33.5 171.4 0.303305
  35 34.5 208.1 0.29978
  36 35.5 268.5 0.303297
  37 36.5 199.1 0.293592
  38 37.5 176.1 0.288791
  39 38.5 228.9 0.285051
  40 39.5 239.2 0.272978
  41 40.5 199.3 0.267037
  42 41.5 201.8 0.267869
  43 42.5 216 0.262245
  44 43.5 213.8 0.261975
  45 44.5 212.6 0.263906
  46 45.5 211.1 0.261706
  47 46.5 208.2 0.259702
  48 47.5 210.5 0.261835
  49 48.5 204.7 0.260946
  50 49.5 211.8 0.259583
  51 50.5 209.1 0.260466
  52 51.5 210.5 0.260384
  53 52.5 208.8 0.261245
  54 53.5 209 0.259557
  55 54.5 217.1 0.26058
  56 55.5 210.8 0.26125
  57 56.5 209 0.259968
  58 57.5 211.2 0.263199
  59 58.5 211.2 0.260582
  60 59.5 211.6 0.256654
  61 60.5 208.1 0.258643
  62 61.5 214.9 0.261615
  63 62.5 212.2 0.260934
  64 63.5 210.6 0.260254
  65 64.5 205.2 0.263805
  66 65.5 207.8 0.263371
  67 66.5 199.3 0.264406
  68 67.5 206.3 0.263222
  69 68.5 200 0.265461
  70 69.5 201.5 0.26342
  71 70.5 207 0.262648
  72 71.5 203.4 0.26221
  73 72.5 205.1 0.264345
  74 73.5 203.2 0.263951
  75 74.5 202.3 0.264466
  76 75.5 211.7 0.264005
  77 76.5 204.8 0.261013
  78 77.5 216.7 0.263216
  79 78.5 202.9 0.261514
  80 79.5 202.6 0.264267
  81 80.5 208.4 0.264453
  82 81.5 211.8 0.265142
  83 82.5 100.6 0.274644
1200 83 17453.000000000004
  1 0.5 190.3 0.270334
  2 1.5 220.5 0.280276
  3 2.5 252 0.289684
  4 3.5 187.5 0.293238
  5 4.5 177.9 0.300526
  6 5.5 259 0.303235
  7 6.5 235.5 0.305698
  8 7.5 172.5 0.301379
  9 8.5 193.1 0.30435
  10 9.5 282.4 0.309409
  11 10.5 201 0.307585
  12 11.5 172 0.309953
  13 12.5 244 0.313118
  14 13.5 252.5 0.311141
  15 14.5 176.8 0.307489
  16 15.5 193.4 0.308166
  17 16.5 274.2 0.313015
  18 17.5 207.9 0.311048
  19 18.5 171.2 0.311801
  20 19.5 220.8 0.312426
  21 20.5 263 0.314963
  22 21.5 190.3 0.311003
  23 22.5 172.2 0.309714
  24 23.5 226.3 0.313777
  25 24.5 266.6 0.312961
  26 25.5 180.1 0.309806
  27 26.5 171.1 0.312232
  28 27.5 233.5 0.309307
  29 28.5 263.8 0.309263
  30 29.5 176.6 0.303833
  31 30.5 174.5 0.305529
  32 31.5 250.3 0.304657
  33 32.5 243.3 0.30542
