# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17452.999999999996
  62 61.5 208.8 0.268971
  63 62.5 207.3 0.267501
  64 63.5 213.7 0.272127
  65 64.5 218.4 0.273833
  66 65.5 210.2 0.271902
  67 66.5 207.3 0.271808
  68 67.5 206.9 0.271953
  69 68.5 212.2 0.270764
  70 69.5 212.3 0.269031
  71 70.5 209.8 0.272353
  72 71.5 210.7 0.270167
  73 72.5 211.9 0.272222
  74 73.5 210.3 0.269577
  75 74.5 210 0.272335
  76 75.5 207.8 0.274809
  77 76.5 218.6 0.270498
  78 77.5 216.1 0.269045
  79 78.5 210.3 0.270798
  80 79.5 194.7 0.275272
  81 80.5 202 0.283641
  82 81.5 251.4 0.295374
  83 82.5 49.5 0.299369
600 83 17453.000000000004
  1 0.5 205.3 0.299529
  2 1.5 278.9 0.306144
  3 2.5 188.4 0.30362
  4 3.5 171.8 0.302331
  5 4.5 227.6 0.304624
  6 5.5 267.8 0.309976
  7 6.5 178 0.303522
  8 7.5 172.7 0.305294
  9 8.5 251.4 0.309344
  10 9.5 248.4 0.308717
  11 10.5 172.6 0.30732
  12 11.5 177.2 0.304162
  13 12.5 265 0.308362
  14 13.5 232.2 0.310602
  15 14.5 170.6 0.30781
  16 15.5 191.1 0.309666
  17 16.5 278.2 0.311029
  18 17.5 206.3 0.306277
  19 18.5 169.5 0.308139
  20 19.5 197.2 0.30416
  21 20.5 284.8 0.312024
  22 21.5 192.7 0.305507
  23 22.5 170.9 0.305559
  24 23.5 207.8 0.305215
  25 24.5 281.5 0.310307
  26 25.5 185 0.305436
  27 26.5 169.4 0.306112
  28 27.5 216.2 0.307689
  29 28.5 275.4 0.312957
  30 29.5 184 0.307302
  31 30.5 171 0.310958
  32 31.5 226.3 0.30923
  33 32.5 269.4 0.312486
  34 33.5 178.3 0.309889
  35 34.5 171.5 0.310939
  36 35.5 236.7 0.306748
  37 36.5 259.1 0.308075
  38 37.5 177.6 0.305051
  39 38.5 175.1 0.305412
  40 39.5 246.7 0.303661
  41 40.5 235.3 0.295319
  42 41.5 185.2 0.285169
  43 42.5 195.4 0.279149
  44 43.5 231.1 0.275621
  45 44.5 217.4 0.266423
  46 45.5 204.2 0.268718
  47 46.5 209.6 0.27132
  48 47.5 203.4 0.270369
  49 48.5 209.9 0.267707
  50 49.5 210.1 0.270109
  51 50.5 210 0.270674
  52 51.5 208.2 0.273045
  53 52.5 212.1 0.270254
  54 53.5 206.8 0.272869
  55 54.5 220.1 0.270687
  56 55.5 204 0.271483
  57 56.5 213 0.274127
  58 57.5 208.7 0.273613
  59 58.5 217.1 0.275591
  60 59.5 208.4 0.27379
  61 60.5 211.6 0.272442
  62 61.5 205.9 0.272425
  63 62.5 210.6 0.27042
  64 63.5 209.7 0.276045
  65 64.5 213.3 0.270692
  66 65.5 211.9 0.271084
  67 66.5 206.1 0.272079
  68 67.5 211.4 0.272092
  69 68.5 210.9 0.267293
  70 69.5 210.3 0.265745
  71 70.5 214.1 0.268174
  72 71.5 213.2 0.271895
  73 72.5 212.1 0.268496
  74 73.5 211.4 0.269506
  75 74.5 208.6 0.273698
  76 75.5 203.5 0.270984
  77 76.5 212.9 0.271724
  78 77.5 222.4 0.270986
  79 78.5 218.3 0.274545
  80 79.5 193.4 0.278354
  81 80.5 196.3 0.284242
  82 81.5 257 0.29539
  83 82.5 48.5 0.289809
700 83 17453.000000000004
  1 0.5 207.3 0.300245
  2 1.5 278.8 0.306009
  3 2.5 187.6 0.302618
  4 3.5 172.7 0.302478
  5 4.5 228.1 0.301799
  6 5.5 266.7 0.305935
  7 6.5 177.4 0.306755
  8 7.5 177.1 0.303924
  9 8.5 250 0.305519
  10 9.5 247.3 0.306317
  11 10.5 170.7 0.30459
  12 11.5 182.7 0.306673
  13 12.5 279.4 0.311317
  14 13.5 212.5 0.306851
  15 14.5 170.7 0.308849
  16 15.5 198.3 0.304783
  17 16.5 274.6 0.31053
  18 17.5 202.5 0.306677
  19 18.5 169.9 0.308992
  20 19.5 208.3 0.305557
