# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17453
  29 28.5 278.2 0.310204
  30 29.5 184.5 0.310271
  31 30.5 173.8 0.309031
  32 31.5 232.1 0.311412
  33 32.5 259.9 0.314496
  34 33.5 179.2 0.3097
  35 34.5 172.9 0.30971
  36 35.5 241.4 0.307472
  37 36.5 253.3 0.307991
  38 37.5 177.4 0.305234
  39 38.5 179.8 0.299324
  40 39.5 243.8 0.299082
  41 40.5 230.2 0.286861
  42 41.5 191.5 0.279412
  43 42.5 203.3 0.270018
  44 43.5 218.6 0.27298
  45 44.5 207.6 0.27217
  46 45.5 207.1 0.271136
  47 46.5 214.6 0.267738
  48 47.5 206.3 0.26792
  49 48.5 210 0.270385
  50 49.5 212.7 0.272421
  51 50.5 213.5 0.273527
  52 51.5 208.8 0.272991
  53 52.5 209.6 0.271044
  54 53.5 207.5 0.266241
  55 54.5 213.5 0.266169
  56 55.5 208.9 0.271022
  57 56.5 213.7 0.269631
  58 57.5 210.2 0.269671
  59 58.5 207.8 0.271458
  60 59.5 212.1 0.270187
  61 60.5 213.7 0.268543
  62 61.5 215.3 0.267325
  63 62.5 210 0.270066
  64 63.5 210.5 0.269094
  65 64.5 210.6 0.262852
  66 65.5 209.4 0.268485
  67 66.5 215.4 0.269232
  68 67.5 212.7 0.268101
  69 68.5 208 0.269596
  70 69.5 207.3 0.273377
  71 70.5 211.7 0.270233
  72 71.5 211.6 0.269151
  73 72.5 215 0.270067
  74 73.5 206.5 0.273243
  75 74.5 214.2 0.272142
  76 75.5 203.5 0.271626
  77 76.5 206 0.27237
  78 77.5 213.5 0.271241
  79 78.5 219 0.276527
  80 79.5 194.8 0.280443
  81 80.5 196.3 0.284185
  82 81.5 241.9 0.293898
  83 82.5 67.2 0.303703
500 83 17453.000000000004
  1 0.5 202.3 0.301977
  2 1.5 261.3 0.307717
  3 2.5 208.6 0.307501
  4 3.5 172.1 0.311635
  5 4.5 206.7 0.309587
  6 5.5 273.7 0.312162
  7 6.5 193.4 0.30988
  8 7.5 169.7 0.311753
  9 8.5 209.5 0.304639
  10 9.5 276.2 0.310273
  11 10.5 189.3 0.307473
  12 11.5 170.9 0.310587
  13 12.5 226.4 0.310961
  14 13.5 259.8 0.311252
  15 14.5 188.4 0.308399
  16 15.5 171.6 0.307881
  17 16.5 245.5 0.308608
  18 17.5 250.8 0.30828
  19 18.5 177.1 0.308755
  20 19.5 180.6 0.308487
  21 20.5 267.2 0.311386
  22 21.5 223.7 0.307231
  23 22.5 173.5 0.308079
  24 23.5 194 0.308437
  25 24.5 280.8 0.312034
  26 25.5 200.7 0.30467
  27 26.5 170.6 0.305487
  28 27.5 208.5 0.303955
  29 28.5 273.2 0.307713
  30 29.5 193 0.308913
  31 30.5 170.7 0.310928
  32 31.5 218.1 0.310211
  33 32.5 273.7 0.311745
  34 33.5 182.7 0.308019
  35 34.5 173.1 0.308112
  36 35.5 244.2 0.310953
  37 36.5 251.8 0.312904
  38 37.5 176.2 0.305253
  39 38.5 183.8 0.302293
  40 39.5 246.2 0.299851
  41 40.5 223.9 0.287946
  42 41.5 190.2 0.282725
  43 42.5 204.4 0.272569
  44 43.5 224.1 0.270264
  45 44.5 204.2 0.272674
  46 45.5 213.1 0.269798
  47 46.5 206.1 0.268751
  48 47.5 212.2 0.267547
  49 48.5 209 0.2719
  50 49.5 217.6 0.270269
  51 50.5 212.6 0.271394
  52 51.5 208.8 0.27236
  53 52.5 209 0.273072
  54 53.5 210 0.271838
  55 54.5 212.4 0.272074
  56 55.5 210.4 0.272977
  57 56.5 206.8 0.266996
  58 57.5 211.7 0.267669
  59 58.5 203.5 0.269958
  60 59.5 214.4 0.27011
  61 60.5 215.8 0.273444
  62 61.5 215.7 0.269978
  63 62.5 211.1 0.27043
  64 63.5 208.3 0.268241
  65 64.5 207.7 0.268401
  66 65.5 214.3 0.27161
  67 66.5 203.7 0.267686
  68 67.5 212.3 0.267323
  69 68.5 209.8 0.268741
  70 69.5 208.9 0.270751
  71 70.5 210 0.271638
  72 71.5 216.7 0.269195
  73 72.5 211.5 0.267181
  74 73.5 206.9 0.271774
  75 74.5 207.5 0.270759
  76 75.5 207.3 0.269473
  77 76.5 209.8 0.274324
  78 77.5 214.5 0.270616
  79 78.5 225.5 0.278738
  80 79.5 189.4 0.280171
  81 80.5 192 0.287451
  82 81.5 248.9 0.297624
  83 82.5 61.4 0.298512
600 83 17453
  1 0.5 199.2 0.299591
  2 1.5 270 0.306713
  3 2.5 204.9 0.303652
  4 3.5 170.2 0.305154
  5 4.5 204.3 0.306997
  6 5.5 276.2 0.308091
  7 6.5 194.2 0.30343
  8 7.5 171.6 0.305971
  9 8.5 204.8 0.306885
  10 9.5 282.3 0.315073
  11 10.5 186.1 0.308718
  12 11.5 171.3 0.309415
  13 12.5 223.3 0.308959
  14 13.5 268.6 0.31188
  15 14.5 182.3 0.307497
  16 15.5 171.8 0.311142
  17 16.5 239.3 0.309382
  18 17.5 258.4 0.309247
  19 18.5 175.5 0.309555
  20 19.5 175.7 0.314662
  21 20.5 257.9 0.311156
  22 21.5 238.8 0.307225
  23 22.5 172.8 0.307833
  24 23.5 182.6 0.306858
  25 24.5 275.6 0.310324
  26 25.5 216.7 0.302791
  27 26.5 170.2 0.303691
  28 27.5 193.1 0.306404
  29 28.5 282.4 0.310815
  30 29.5 199.9 0.309779
  31 30.5 171 0.309493
  32 31.5 219.5 0.310181
  33 32.5 276.1 0.311278
  34 33.5 178.7 0.309779
  35 34.5 173.8 0.308835
  36 35.5 240.2 0.311828
  37 36.5 251.4 0.309444
  38 37.5 179.6 0.305723
  39 38.5 181.8 0.305352
  40 39.5 244.8 0.300088
  41 40.5 227.1 0.28533
  42 41.5 193.4 0.278451
  43 42.5 208.8 0.273193
  44 43.5 222.5 0.272907
  45 44.5 210 0.268752
  46 45.5 206.9 0.269487
  47 46.5 210.6 0.269862
  48 47.5 211.2 0.268262
  49 48.5 208.1 0.271774
  50 49.5 217.5 0.271377
  51 50.5 208.6 0.269682
  52 51.5 210.3 0.268674
  53 52.5 211.2 0.272306
